K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
382-283-16,497-972-888,6.8667,3.5467,0,10.4041,1,0.0093,,,
118-207-19,142-543-217,9.4427,8.3319,0,17.7296,1,0.045,,,
27-5-608,400-393-372,4.8476,4.3755,0,9.2178,1,0.0053,,,
818-553-815,512-809-483,9.2487,4.7599,0,13.7694,1,0.2392,,,
336-319-809,239-2-439,4.8035,20.134,0,24.9421,0,-0.0046,,,
519-1-652,209-20-904,169.4209,3.8238,0,172.8948,1,0.3499,,,
962-652-361,104-117-116,3.907,4.0859,0,8.0075,0,-0.0146,,,
163-457-236,342-73-208,3.8339,5.3336,0,9.1537,1,0.0138,,,
217-76-106,361-35-722,8.4528,3.5579,0,11.9374,1,0.0733,,,
595-722-396,361-493-488,4.011,3.2571,0,7.1564,1,0.1117,,,
